batch size: (1518,)	loss:77.495964
batch size: (1584,)	loss:76.55425
batch size: (1050,)	loss:74.357216
batch size: (1493,)	loss:77.54668
batch size: (1583,)	loss:78.88961
batch size: (1547,)	loss:77.58099
batch size: (1371,)	loss:78.227455
batch size: (1312,)	loss:79.41725
batch size: (1456,)	loss:79.249596
batch size: (1470,)	loss:78.58811
batch size: (1539,)	loss:78.937996
batch size: (1259,)	loss:78.1196
batch size: (1214,)	loss:82.55565
batch size: (1467,)	loss:80.29537
batch size: (1456,)	loss:78.827194
batch size: (1532,)	loss:76.704025
batch size: (404,)	loss:75.102295
batch size: (1272,)	loss:78.609375
batch size: (710,)	loss:77.13696
batch size: (1144,)	loss:81.09188
batch size: (1378,)	loss:79.0522
batch size: (1022,)	loss:76.290825
batch size: (1448,)	loss:79.73425
batch size: (1582,)	loss:78.15211
batch size: (1505,)	loss:76.00608
batch size: (1554,)	loss:76.91206
batch size: (1450,)	loss:77.92587
batch size: (1596,)	loss:78.284935
batch size: (1428,)	loss:80.11423
batch size: (1477,)	loss:75.73933
batch size: (1503,)	loss:79.41943
batch size: (1225,)	loss:77.8758
batch size: (1109,)	loss:77.86152
batch size: (1584,)	loss:76.65408
batch size: (1462,)	loss:79.12923
batch size: (1600,)	loss:78.90499
batch size: (1469,)	loss:77.14269
batch size: (1193,)	loss:77.14457
batch size: (1600,)	loss:79.37746
batch size: (1442,)	loss:78.19362
batch size: (262,)	loss:76.46101
batch size: (1490,)	loss:78.551605
batch size: (1489,)	loss:81.806274
batch size: (249,)	loss:83.985985
batch size: (1526,)	loss:82.71078
batch size: (1426,)	loss:82.006
batch size: (765,)	loss:78.52013
batch size: (1426,)	loss:80.99678
batch size: (1386,)	loss:79.05512
batch size: (1510,)	loss:84.354355
batch size: (1600,)	loss:78.79918
batch size: (1545,)	loss:79.30307
batch size: (1549,)	loss:81.21401
batch size: (1458,)	loss:78.976364
batch size: (1600,)	loss:79.21713
batch size: (1444,)	loss:81.06043
batch size: (1488,)	loss:76.06393
batch size: (790,)	loss:81.55548
batch size: (1592,)	loss:76.284386
batch size: (1341,)	loss:75.23105
batch size: (462,)	loss:79.3547
batch size: (1436,)	loss:80.27919
batch size: (251,)	loss:81.23143
batch size: (931,)	loss:79.97177
batch size: (1466,)	loss:82.177826
batch size: (1524,)	loss:81.96135
batch size: (1600,)	loss:80.35409
batch size: (1543,)	loss:80.90187
batch size: (1463,)	loss:76.7788
batch size: (1472,)	loss:81.1465
batch size: (1579,)	loss:77.12148
batch size: (1511,)	loss:78.13202
batch size: (1375,)	loss:75.52794
batch size: (634,)	loss:71.70391
batch size: (1519,)	loss:73.42482
batch size: (1470,)	loss:81.67195
batch size: (351,)	loss:79.25483
batch size: (1510,)	loss:77.95541
batch size: (1231,)	loss:83.07543
batch size: (490,)	loss:91.84412
batch size: (1600,)	loss:81.187546
batch size: (1156,)	loss:81.124916
batch size: (1600,)	loss:79.35426
batch size: (1534,)	loss:78.80081
batch size: (1326,)	loss:77.80722
batch size: (1473,)	loss:80.72834
batch size: (1479,)	loss:79.47934
batch size: (1513,)	loss:77.338745
batch size: (1556,)	loss:77.41842
batch size: (1600,)	loss:78.725945
batch size: (1600,)	loss:78.48625
batch size: (1297,)	loss:80.08607
batch size: (1292,)	loss:76.58463
batch size: (1548,)	loss:77.84175
batch size: (615,)	loss:78.63379
batch size: (1312,)	loss:74.73673
batch size: (1543,)	loss:75.63111
batch size: (1593,)	loss:76.41478
batch size: (1408,)	loss:77.21421
batch size: (1474,)	loss:78.43089
batch size: (1419,)	loss:79.04429
batch size: (1472,)	loss:78.53856
batch size: (1366,)	loss:74.311356
batch size: (1600,)	loss:75.83178
batch size: (1528,)	loss:76.296974
batch size: (1465,)	loss:78.447334
batch size: (1344,)	loss:73.84005
batch size: (1461,)	loss:76.37423
batch size: (1600,)	loss:75.76969
batch size: (1596,)	loss:75.62832
batch size: (1348,)	loss:78.27238
batch size: (1529,)	loss:75.68672
batch size: (1452,)	loss:77.46492
batch size: (1247,)	loss:74.1783
batch size: (1412,)	loss:74.15147
batch size: (1600,)	loss:78.180046
batch size: (1405,)	loss:78.222336
batch size: (1491,)	loss:74.30528
batch size: (1479,)	loss:76.91344
batch size: (1285,)	loss:75.73367
batch size: (1230,)	loss:77.09238
batch size: (1471,)	loss:80.00208
batch size: (1539,)	loss:78.34592
batch size: (1187,)	loss:76.98543
batch size: (1564,)	loss:74.22255
batch size: (1258,)	loss:74.916595
batch size: (1449,)	loss:82.239136
batch size: (782,)	loss:75.08135
batch size: (1352,)	loss:75.23214
batch size: (1581,)	loss:79.18562
batch size: (1600,)	loss:75.71535
batch size: (1191,)	loss:83.205055
batch size: (1364,)	loss:81.72733
batch size: (1498,)	loss:81.33021
batch size: (1565,)	loss:80.28297
batch size: (1387,)	loss:79.3694
batch size: (1339,)	loss:81.759705
batch size: (1314,)	loss:80.355
batch size: (1566,)	loss:79.186714
batch size: (1595,)	loss:80.51356
batch size: (1547,)	loss:80.54905
batch size: (1501,)	loss:80.07923
batch size: (1600,)	loss:77.26663
batch size: (1156,)	loss:81.75134
batch size: (904,)	loss:80.71356
batch size: (1198,)	loss:85.04603
batch size: (1476,)	loss:81.28894
batch size: (1581,)	loss:85.58072
batch size: (1446,)	loss:76.82765
batch size: (1567,)	loss:84.76763
batch size: (1527,)	loss:79.158325
batch size: (1521,)	loss:85.73508
batch size: (1497,)	loss:79.06549
batch size: (1379,)	loss:80.14263
batch size: (1415,)	loss:85.56094
batch size: (1581,)	loss:82.44401
batch size: (1335,)	loss:82.60502
batch size: (1600,)	loss:81.92191
batch size: (1499,)	loss:79.14243
batch size: (1435,)	loss:79.66465
batch size: (1530,)	loss:73.77603
batch size: (1178,)	loss:81.28272
batch size: (1475,)	loss:78.82534
batch size: (1564,)	loss:82.52072
batch size: (1301,)	loss:84.20261
batch size: (1498,)	loss:82.07903
batch size: (1553,)	loss:81.932846
batch size: (1600,)	loss:75.70232
batch size: (1540,)	loss:75.10031
batch size: (1600,)	loss:72.69585
batch size: (1584,)	loss:76.61028
batch size: (1447,)	loss:77.54246
batch size: (1451,)	loss:75.74209
batch size: (1588,)	loss:76.44317
batch size: (1362,)	loss:75.794846
batch size: (1211,)	loss:76.072365
batch size: (1544,)	loss:79.4088
batch size: (1502,)	loss:75.13239
batch size: (1363,)	loss:77.566765
batch size: (1562,)	loss:76.500824
batch size: (1365,)	loss:76.9531
batch size: (1350,)	loss:74.64438
batch size: (1505,)	loss:75.152695
batch size: (1239,)	loss:82.0639
batch size: (1530,)	loss:76.43712
batch size: (1385,)	loss:74.461754
batch size: (1449,)	loss:76.419136
batch size: (1417,)	loss:74.699066
batch size: (1448,)	loss:75.65072
batch size: (1424,)	loss:75.44027
batch size: (1440,)	loss:74.395164
batch size: (1590,)	loss:74.84018
batch size: (1518,)	loss:76.25436
batch size: (1349,)	loss:74.34753
batch size: (1533,)	loss:76.63874
batch size: (1286,)	loss:77.49717
batch size: (1435,)	loss:75.692024
batch size: (1550,)	loss:76.40549
batch size: (1281,)	loss:74.83606
batch size: (1496,)	loss:75.45218
batch size: (1463,)	loss:76.842155
batch size: (1516,)	loss:76.15636
batch size: (1520,)	loss:77.97177
batch size: (1518,)	loss:75.8476
batch size: (1600,)	loss:79.682755
batch size: (1570,)	loss:77.82336
batch size: (1461,)	loss:77.95102
batch size: (1597,)	loss:77.61514
batch size: (1455,)	loss:78.52545
batch size: (1468,)	loss:84.23255
batch size: (1117,)	loss:82.48552
batch size: (921,)	loss:82.22107
batch size: (1455,)	loss:80.12513
batch size: (1600,)	loss:78.118065
batch size: (1172,)	loss:80.66738
batch size: (1555,)	loss:80.13575
batch size: (672,)	loss:81.08598
batch size: (1600,)	loss:79.09302
batch size: (1600,)	loss:82.00921
batch size: (1442,)	loss:80.67591
batch size: (1436,)	loss:86.08032
batch size: (1600,)	loss:85.06074
batch size: (655,)	loss:84.21973
batch size: (1219,)	loss:84.059616
batch size: (577,)	loss:88.73176
batch size: (1175,)	loss:84.98366
batch size: (1600,)	loss:82.70538
batch size: (1600,)	loss:83.7432
batch size: (977,)	loss:80.83176
batch size: (1432,)	loss:82.519104
batch size: (1600,)	loss:84.29719
batch size: (1432,)	loss:82.00301
batch size: (1600,)	loss:84.578094
batch size: (541,)	loss:83.05589
batch size: (1574,)	loss:83.99573
batch size: (428,)	loss:82.05571
batch size: (1600,)	loss:86.38819
batch size: (1245,)	loss:83.78728
batch size: (1544,)	loss:82.6169
batch size: (1520,)	loss:84.99971
batch size: (1285,)	loss:80.789185
batch size: (1278,)	loss:84.74684
batch size: (1580,)	loss:85.60412
batch size: (1397,)	loss:80.75882
batch size: (1414,)	loss:85.6368
batch size: (1198,)	loss:82.96775
batch size: (1534,)	loss:82.7231
batch size: (1060,)	loss:83.635895
batch size: (1106,)	loss:82.82526
batch size: (1308,)	loss:83.5614
batch size: (1136,)	loss:82.80106
batch size: (1524,)	loss:82.05935
batch size: (482,)	loss:82.31639
batch size: (1285,)	loss:82.62849
batch size: (1451,)	loss:79.76131
batch size: (853,)	loss:87.98361
batch size: (1224,)	loss:82.79143
batch size: (1498,)	loss:81.45344
batch size: (707,)	loss:82.30217
batch size: (1035,)	loss:82.63238
batch size: (1546,)	loss:83.01675
batch size: (1233,)	loss:84.78818
batch size: (1462,)	loss:84.63658
batch size: (908,)	loss:83.54289
batch size: (1461,)	loss:85.3775
batch size: (1209,)	loss:81.45587
batch size: (1506,)	loss:85.98758
batch size: (1153,)	loss:83.15343
batch size: (1434,)	loss:89.98336
batch size: (1340,)	loss:83.95959
batch size: (1574,)	loss:82.06659
batch size: (1476,)	loss:82.89174
batch size: (885,)	loss:80.92141
batch size: (1425,)	loss:79.544266
batch size: (1153,)	loss:82.98564
batch size: (504,)	loss:84.26458
batch size: (1556,)	loss:82.58881
batch size: (1302,)	loss:84.61054
batch size: (1440,)	loss:82.890594
batch size: (1150,)	loss:83.5982
batch size: (834,)	loss:84.06399
batch size: (909,)	loss:89.45811
batch size: (1577,)	loss:83.830284
batch size: (1258,)	loss:82.245255
batch size: (1468,)	loss:82.66224
batch size: (1378,)	loss:82.19621
batch size: (1241,)	loss:84.9938
batch size: (1587,)	loss:84.766335
batch size: (1427,)	loss:86.01416
batch size: (947,)	loss:79.87408
batch size: (1311,)	loss:82.09346
batch size: (1425,)	loss:82.04085
batch size: (1464,)	loss:81.53745
batch size: (1582,)	loss:79.83252
batch size: (1181,)	loss:86.39906
batch size: (1559,)	loss:82.2479
batch size: (412,)	loss:89.85795
batch size: (1495,)	loss:83.617836
batch size: (1444,)	loss:85.66012
batch size: (1432,)	loss:84.430695
batch size: (1433,)	loss:85.56115
batch size: (689,)	loss:83.33415
batch size: (1463,)	loss:86.40119
batch size: (1012,)	loss:85.57994
batch size: (1338,)	loss:88.119995
batch size: (1586,)	loss:86.96702
batch size: (1589,)	loss:80.28961
batch size: (1587,)	loss:83.25057
batch size: (1531,)	loss:82.98724
batch size: (1074,)	loss:84.57639
batch size: (857,)	loss:82.69447
batch size: (865,)	loss:86.66449
batch size: (1168,)	loss:80.870964
batch size: (1484,)	loss:84.791084
batch size: (1141,)	loss:80.63651
batch size: (1400,)	loss:86.43555
batch size: (791,)	loss:83.112015
batch size: (1600,)	loss:92.82819
batch size: (1527,)	loss:85.41603
batch size: (1477,)	loss:85.07728
batch size: (1129,)	loss:84.98474
batch size: (1430,)	loss:84.8993
batch size: (1339,)	loss:86.581276
batch size: (1445,)	loss:88.52494
batch size: (1418,)	loss:85.41744
batch size: (1481,)	loss:86.45737
batch size: (1395,)	loss:83.539345
batch size: (1483,)	loss:88.563705
batch size: (1565,)	loss:83.97171
batch size: (1287,)	loss:84.83413
batch size: (1450,)	loss:84.7916
batch size: (1472,)	loss:92.14413
batch size: (1551,)	loss:89.600464
batch size: (1488,)	loss:89.971016
batch size: (407,)	loss:97.36759
batch size: (1259,)	loss:89.21443
batch size: (1462,)	loss:85.9073
batch size: (1546,)	loss:88.15022
batch size: (1275,)	loss:86.445206
batch size: (1429,)	loss:85.797554
batch size: (1427,)	loss:88.47159
batch size: (288,)	loss:87.0797
batch size: (1501,)	loss:84.578445
batch size: (1469,)	loss:85.92511
batch size: (1429,)	loss:85.67667
batch size: (1391,)	loss:85.9719
batch size: (1466,)	loss:87.6895
batch size: (1476,)	loss:85.74261
batch size: (839,)	loss:91.40193
batch size: (1304,)	loss:84.980774
batch size: (1408,)	loss:84.255455
batch size: (446,)	loss:83.25845
batch size: (1448,)	loss:92.11593
batch size: (1334,)	loss:82.362625
batch size: (1522,)	loss:85.20132
batch size: (1562,)	loss:86.72947
batch size: (1241,)	loss:89.45719
batch size: (1551,)	loss:86.4925
batch size: (1257,)	loss:88.20352
batch size: (1549,)	loss:84.60226
batch size: (1514,)	loss:83.22144
batch size: (1600,)	loss:86.46259
batch size: (1307,)	loss:95.11316
batch size: (1324,)	loss:85.333885
batch size: (1354,)	loss:89.09568
batch size: (1549,)	loss:89.930534
batch size: (1285,)	loss:88.40888
batch size: (1361,)	loss:86.8885
batch size: (1309,)	loss:86.97414
batch size: (1600,)	loss:85.26506
batch size: (1045,)	loss:86.01742
batch size: (1038,)	loss:86.843185
batch size: (1335,)	loss:91.015686
batch size: (1472,)	loss:87.183014
batch size: (840,)	loss:94.39465
batch size: (785,)	loss:92.47872
batch size: (1501,)	loss:86.59441
batch size: (1478,)	loss:86.00065
batch size: (1175,)	loss:87.14276
batch size: (1544,)	loss:86.96924
batch size: (1600,)	loss:84.47547
batch size: (1373,)	loss:87.23456
batch size: (1577,)	loss:87.94733
batch size: (1446,)	loss:84.798386
batch size: (787,)	loss:85.20033
batch size: (1600,)	loss:91.87125
batch size: (1491,)	loss:84.77104
batch size: (1438,)	loss:84.23274
batch size: (512,)	loss:81.96021
batch size: (1507,)	loss:85.481895
batch size: (1497,)	loss:83.55435
batch size: (1539,)	loss:81.5022
batch size: (1167,)	loss:85.60973
batch size: (1600,)	loss:82.57684
batch size: (1272,)	loss:82.06966
batch size: (1383,)	loss:83.599106
batch size: (1534,)	loss:81.17658
batch size: (1399,)	loss:79.02334
batch size: (1201,)	loss:81.79646
batch size: (1165,)	loss:84.3353
batch size: (1487,)	loss:85.80952
batch size: (1430,)	loss:84.31008
batch size: (1127,)	loss:82.35701
batch size: (1181,)	loss:87.50387
batch size: (1253,)	loss:82.068565
batch size: (1469,)	loss:87.29389
batch size: (1523,)	loss:86.14232
batch size: (1600,)	loss:80.83366
batch size: (1531,)	loss:83.55347
batch size: (1477,)	loss:84.62182
batch size: (294,)	loss:87.80874
batch size: (1398,)	loss:84.235344
batch size: (1305,)	loss:84.72281
batch size: (631,)	loss:82.370544
batch size: (1473,)	loss:82.33515
batch size: (1258,)	loss:80.12728
batch size: (1422,)	loss:80.80022
batch size: (1571,)	loss:86.72016
batch size: (1450,)	loss:89.16736
batch size: (1464,)	loss:83.46292
batch size: (1383,)	loss:86.382805
batch size: (1309,)	loss:85.72906
batch size: (1594,)	loss:86.021484
batch size: (1265,)	loss:88.951836
batch size: (1571,)	loss:82.11026
batch size: (1370,)	loss:82.434525
batch size: (1410,)	loss:86.112656
batch size: (557,)	loss:85.97034
batch size: (1425,)	loss:84.66042
batch size: (628,)	loss:81.80062
batch size: (1600,)	loss:96.53623
batch size: (1558,)	loss:97.87643
batch size: (1600,)	loss:98.44882
batch size: (1054,)	loss:96.3222
batch size: (1530,)	loss:95.729195
batch size: (1217,)	loss:98.8673
batch size: (1565,)	loss:96.996864
batch size: (1405,)	loss:99.64817
batch size: (880,)	loss:96.75852
batch size: (1396,)	loss:96.31745
batch size: (1336,)	loss:93.431206
batch size: (1379,)	loss:93.23132
