using NODE-APCbatch size: (1186,)	loss:69.49377
batch size: (1303,)	loss:77.99929
batch size: (353,)	loss:71.534225
batch size: (1600,)	loss:76.23821
batch size: (1301,)	loss:76.09031
batch size: (1566,)	loss:75.860306
batch size: (1571,)	loss:76.484
batch size: (1468,)	loss:75.95482
batch size: (1298,)	loss:74.88035
batch size: (1594,)	loss:75.54736
batch size: (1395,)	loss:76.921776
batch size: (243,)	loss:74.41673
batch size: (253,)	loss:73.1343
batch size: (1600,)	loss:73.18184
batch size: (1502,)	loss:75.42516
batch size: (1434,)	loss:76.12785
batch size: (1378,)	loss:76.699745
batch size: (1516,)	loss:73.35969
batch size: (1384,)	loss:76.518585
batch size: (1060,)	loss:76.51082
batch size: (1529,)	loss:75.02337
batch size: (421,)	loss:74.20374
batch size: (1467,)	loss:74.020584
batch size: (1276,)	loss:73.73891
batch size: (1388,)	loss:71.52319
batch size: (1592,)	loss:69.655624
batch size: (1206,)	loss:73.00229
batch size: (1540,)	loss:76.278404
batch size: (1171,)	loss:77.18611
batch size: (1027,)	loss:75.21386
batch size: (1183,)	loss:73.714325
batch size: (480,)	loss:79.06895
batch size: (1494,)	loss:75.398865
batch size: (1267,)	loss:76.9739
batch size: (1231,)	loss:79.64125
batch size: (1403,)	loss:77.94488
batch size: (1449,)	loss:77.553276
batch size: (901,)	loss:73.58731
batch size: (1549,)	loss:74.4985
batch size: (1359,)	loss:78.559586
batch size: (1583,)	loss:77.38191
batch size: (1254,)	loss:78.2546
batch size: (1510,)	loss:75.55038
batch size: (1593,)	loss:75.438576
batch size: (1600,)	loss:78.25706
batch size: (902,)	loss:78.469086
batch size: (1597,)	loss:76.37452
batch size: (1545,)	loss:74.820435
batch size: (1554,)	loss:74.57921
batch size: (1104,)	loss:70.107956
batch size: (1107,)	loss:74.42906
batch size: (1529,)	loss:77.38177
batch size: (839,)	loss:74.88636
batch size: (1138,)	loss:77.97427
batch size: (355,)	loss:79.22265
batch size: (210,)	loss:68.1722
batch size: (615,)	loss:69.98879
batch size: (555,)	loss:73.79826
batch size: (1086,)	loss:75.10803
batch size: (1594,)	loss:75.22583
batch size: (1414,)	loss:76.06447
batch size: (1414,)	loss:73.92679
batch size: (1502,)	loss:75.79428
batch size: (1347,)	loss:78.94809
batch size: (1420,)	loss:77.65878
batch size: (1307,)	loss:76.45029
batch size: (1329,)	loss:75.66803
batch size: (1516,)	loss:72.743385
batch size: (1521,)	loss:73.148384
batch size: (1533,)	loss:75.2269
batch size: (1487,)	loss:75.56987
batch size: (993,)	loss:75.10733
batch size: (219,)	loss:78.41963
batch size: (1426,)	loss:72.94763
batch size: (1600,)	loss:75.73593
batch size: (1011,)	loss:76.73854
batch size: (1458,)	loss:76.16619
batch size: (1579,)	loss:75.59611
batch size: (641,)	loss:73.189606
batch size: (1326,)	loss:75.2717
batch size: (1600,)	loss:76.81254
batch size: (1533,)	loss:77.67826
batch size: (1581,)	loss:76.371704
batch size: (1491,)	loss:75.42303
batch size: (1379,)	loss:74.12001
batch size: (1477,)	loss:78.17628
batch size: (1579,)	loss:77.08153
batch size: (1377,)	loss:75.71549
batch size: (1540,)	loss:74.104256
batch size: (1222,)	loss:69.532616
batch size: (400,)	loss:66.49789
batch size: (1383,)	loss:69.40539
batch size: (1193,)	loss:66.05269
batch size: (1430,)	loss:72.138626
batch size: (1511,)	loss:70.07048
batch size: (1425,)	loss:68.45299
batch size: (577,)	loss:73.871185
batch size: (1463,)	loss:66.22827
batch size: (1484,)	loss:69.652885
batch size: (1465,)	loss:69.87107
batch size: (789,)	loss:73.950905
batch size: (1467,)	loss:66.935715
batch size: (461,)	loss:65.57744
batch size: (980,)	loss:67.82111
batch size: (1578,)	loss:70.15986
batch size: (1501,)	loss:68.757774
batch size: (1545,)	loss:70.166534
batch size: (488,)	loss:68.02079
batch size: (1600,)	loss:69.83068
batch size: (1061,)	loss:69.51091
batch size: (1351,)	loss:74.18555
batch size: (1476,)	loss:76.92166
batch size: (734,)	loss:76.80922
batch size: (1267,)	loss:77.23875
batch size: (1544,)	loss:78.293915
batch size: (1596,)	loss:78.5951
batch size: (977,)	loss:77.87399
batch size: (1596,)	loss:78.59254
batch size: (1516,)	loss:76.8753
batch size: (423,)	loss:74.739815
batch size: (1412,)	loss:75.50974
batch size: (1435,)	loss:79.05296
batch size: (1441,)	loss:74.02644
batch size: (1573,)	loss:77.446754
batch size: (1522,)	loss:76.376785
batch size: (1367,)	loss:76.20464
batch size: (1323,)	loss:78.017136
batch size: (1036,)	loss:77.49648
batch size: (1388,)	loss:82.42758
batch size: (1482,)	loss:78.85402
batch size: (1597,)	loss:79.69443
batch size: (1544,)	loss:77.453476
batch size: (1545,)	loss:76.194756
batch size: (1050,)	loss:72.59567
batch size: (1166,)	loss:76.98459
batch size: (1600,)	loss:78.34142
batch size: (1484,)	loss:77.91841
batch size: (323,)	loss:77.79828
batch size: (1130,)	loss:79.92181
